(-0.5985, -0.7664, -0.1065)
(-0.6318, -0.7634, -0.0724)
(-0.4587, -0.7886, -0.1765)
(-0.6961, -0.7962, 0.0065)
(-0.6179, -0.7464, -0.0249)
(-0.9913, -0.7811, 0.1639)
(-0.8814, -0.7622, 0.1244)
(-0.6847, -0.6861, 0.0462)
(-0.3792, -0.7703, -0.1112)
(-0.7083, -0.7577, 0.0258)
(-0.7845, -0.6479, 0.1898)
(-0.5497, -0.6893, 0.0159)
(-0.5276, -0.7369, 0.0010)
(-0.7720, -0.4130, 0.1574)
(-0.6045, -0.6565, 0.0335)
(-0.5944, -0.6796, 0.0289)
(-0.9307, -0.7655, 0.2518)
(-0.7376, -0.6661, 0.1588)
(-0.5679, -0.4721, 0.1155)
(-0.6085, -0.4994, 0.1199)
(-0.5883, -0.5646, 0.0925)
(-0.5255, -0.7806, -0.1160)
(-0.5447, -0.4893, 0.1077)
(-0.5848, -0.4557, 0.1341)
(-0.6765, -0.4535, 0.1931)
(-0.4540, -0.7560, 0.0110)
(-0.3648, -0.7636, -0.0883)
(-0.5060, -0.6321, 0.0455)
(-0.5585, -0.6224, 0.0499)
(-0.8104, -0.4165, 0.2414)
(-0.8563, -0.4872, 0.1806)
(-0.6749, -0.5366, 0.1658)
(-0.3915, -0.7445, 0.0489)
(-0.6057, -0.4438, 0.2159)
(-0.4446, -0.7158, 0.0789)
(-0.4728, -0.5847, 0.0621)
(-0.4544, -0.6486, 0.0419)
(-0.5524, -0.5349, 0.0831)
(-0.5486, -0.5824, 0.0686)
(-0.6165, -0.7283, -0.0036)
(-0.6697, -0.6811, 0.0190)
(-0.4421, -0.5418, 0.0808)
(-0.5072, -0.4669, 0.1109)
(-0.4555, -0.6134, 0.1081)
(-0.5103, -0.4534, 0.1347)
(-0.4446, -0.6399, 0.0657)
(-0.3189, -0.7397, -0.0393)
(-0.4558, -0.6113, 0.0506)
(-0.5024, -0.7613, 0.0161)
(-0.5563, -0.7434, 0.0151)
(-0.7970, -0.4686, 0.1620)
(-0.4817, -0.5014, 0.1008)
(-0.5494, -0.4641, 0.1314)
(-0.7795, -0.7480, 0.0519)
(-0.4865, -0.4629, 0.1718)
(-0.6211, -0.2285, 0.2638)
(-0.6375, -0.2309, 0.2635)
(-0.4953, -0.4604, 0.1452)
(-0.6197, -0.4256, 0.2246)
(-0.5302, -0.4896, 0.1051)
(-0.5567, -0.5538, 0.0817)
(-0.4868, -0.7633, -0.0327)
(-0.9134, -0.7506, 0.1913)
(-0.5571, -0.5119, 0.0908)
(-0.5429, -0.4181, 0.2173)
(-0.6147, -0.2356, 0.2560)
(-0.5671, -0.4383, 0.2172)
(-0.4819, -0.4637, 0.1404)
(-0.4257, -0.4242, 0.0786)
(-0.4990, -0.4909, 0.1176)
(-0.6280, -0.4564, 0.1471)
(-0.5308, -0.6240, 0.0232)
(-0.5559, -0.2365, 0.2412)
(-0.6234, -0.2224, 0.2992)
(-0.5945, -0.2313, 0.2696)
(-0.5626, -0.2374, 0.2361)
(-0.6091, -0.2332, 0.2735)
(-0.5452, -0.4396, 0.2168)
(-0.5249, -0.4495, 0.1964)
(-0.5639, -0.4656, 0.0976)
(-0.8915, -0.6859, 0.2374)
(-0.7678, -0.3965, 0.1460)
(-0.4441, -0.6071, 0.1662)
(-0.5948, -0.4741, 0.1309)
(-0.5432, -0.6177, 0.0741)
(-0.3056, -0.7385, 0.0199)
(-0.5344, -0.4485, 0.1873)
(-0.5075, -0.5136, 0.1015)
(-0.5790, -0.2380, 0.2568)
(-0.4434, -0.7446, 0.0769)
(-0.5773, -0.6135, 0.0647)
(-0.4507, -0.5086, 0.0549)
(-0.2628, -0.7660, 0.0309)
(-0.6820, -0.4207, 0.4006)
(-0.4772, -0.4717, 0.1622)
(-0.4998, -0.2429, 0.2239)
(-0.5534, -0.2429, 0.2578)
(-0.4499, -0.4540, 0.1222)
(-0.6099, -0.4404, 0.2385)
(-0.7193, -0.6888, 0.1029)
(-0.5453, -0.2287, 0.2748)
(-0.5844, -0.2222, 0.2932)
(-0.5808, -0.2355, 0.2842)
(-0.4381, -0.7762, -0.0019)
(-0.5252, -0.7733, -0.1015)
(-0.2457, -0.7554, 0.0483)
(-0.5996, -0.2363, 0.2546)
(-0.6572, -0.3922, 0.2153)
(-0.8930, -0.7093, 0.2637)
(-0.7638, -0.3973, 0.2062)
(-0.4905, -0.7590, -0.0062)
(-0.6018, -0.5431, 0.0862)
(-0.2810, -0.6346, 0.0530)
(-0.6205, -0.6488, 0.0557)
(-0.2611, -0.5856, -0.0072)
(-0.6484, -0.3789, 0.2385)
(-0.4907, -0.2359, 0.2559)
(-0.4970, -0.2456, 0.2589)
(-0.5399, -0.4830, 0.1041)
(-0.5464, -0.6233, 0.0629)
(-0.5463, -0.2382, 0.3250)
(-0.5609, -0.2352, 0.3406)
(-0.4570, -0.4588, 0.1079)
(-0.5283, -0.4599, 0.1535)
(-0.2847, -0.5490, 0.0570)
(-0.5100, -0.2381, 0.2671)
(-0.2771, -0.6828, 0.0495)
