(0.0861, 0.0586, -0.0981)
(0.2801, -0.2832, 0.2659)
(0.1721, -0.3356, 0.1432)
(0.2663, -0.3616, 0.3557)
(0.2133, -0.3404, 0.3142)
(0.1496, -0.2999, 0.2302)
(0.1921, -0.3323, 0.1881)
(0.0908, 0.1001, -0.1127)
(0.2643, -0.3578, 0.2034)
(0.3631, -0.2716, 0.4352)
(0.2892, -0.3470, 0.1556)
(0.2469, -0.2179, 0.1485)
(0.0567, 0.1040, -0.1378)
(0.0612, 0.0423, -0.0993)
(0.0584, 0.1112, -0.0775)
(0.2421, -0.2565, 0.4480)
(0.2610, -0.2151, 0.4283)
(0.3281, -0.2070, 0.4892)
(0.2686, -0.3393, 0.3556)
(0.2750, -0.2502, 0.3126)
(0.1616, -0.3236, 0.1405)
(0.1970, -0.3276, 0.1584)
(0.3323, -0.2464, 0.4790)
(0.1877, -0.2676, 0.4627)
(0.2609, -0.3537, 0.3681)
(0.2259, -0.3246, 0.4708)
(0.1585, -0.2748, 0.4772)
(0.1444, -0.3007, 0.2084)
(0.3843, -0.2246, 0.5182)
(0.2748, -0.3328, 0.3017)
(0.3465, -0.2300, 0.5664)
(0.2180, -0.3102, 0.2386)
(0.3861, -0.2851, 0.4631)
(0.2735, -0.3581, 0.2018)
(0.2895, -0.3277, 0.2578)
(0.2789, -0.3245, 0.2597)
(0.2565, -0.3182, 0.2820)
(0.3782, -0.1792, 0.4264)
(0.2482, -0.3276, 0.1804)
(0.2006, -0.2975, 0.1345)
(0.1630, -0.3220, 0.2024)
(0.1700, -0.3516, 0.1482)
(0.0963, -0.0326, -0.0209)
(0.2034, -0.3442, 0.4908)
(0.2764, -0.2861, 0.6450)
(0.1764, -0.2485, 0.4717)
(0.1830, -0.3335, 0.5575)
(0.2414, -0.3325, 0.4541)
(0.1174, -0.4031, 0.6808)
(0.1969, -0.3376, 0.5226)
(0.1574, -0.2949, 0.4857)
(0.2120, -0.2494, 0.5242)
(0.1818, -0.1661, 0.3934)
(0.3313, -0.2490, 0.7307)
(0.2816, -0.3305, 0.1579)
(0.2860, -0.3177, 0.1797)
(0.3581, -0.2228, 0.3076)
(0.3122, -0.2272, 0.3911)
(0.4272, -0.2505, 0.4160)
(0.1504, -0.2851, 0.5082)
(0.3126, -0.2992, 0.6655)
(0.1984, -0.3284, 0.5251)
(0.2446, -0.3494, 0.3700)
(0.2513, -0.3939, 0.4634)
(0.2249, -0.3089, 0.4335)
(0.1273, -0.3321, 0.2760)
(0.3266, -0.1359, 0.4471)
(0.2646, -0.3294, 0.3597)
(0.0558, -0.3220, 0.1831)
(0.2271, -0.3455, 0.1602)
(0.2582, -0.3503, 0.2301)
(0.2099, -0.3153, 0.1852)
(0.2335, -0.3390, 0.1946)
(0.2686, -0.3136, 0.3126)
(0.2103, -0.3410, 0.3672)
(0.2051, -0.2706, 0.4705)
(0.2143, -0.3376, 0.5125)
(0.2637, -0.3441, 0.3589)
(0.2424, -0.3600, 0.3620)
(0.2462, -0.2926, 0.4194)
(0.1561, -0.3042, 0.2000)
(0.2574, -0.2593, 0.3664)
(0.1772, -0.2803, 0.2052)
(0.1789, -0.3495, 0.2502)
(0.1781, -0.3071, 0.1417)
(0.1916, -0.3260, 0.2293)
(0.2832, -0.2286, 0.1404)
(0.2182, -0.2679, 0.5590)
(0.2902, -0.2170, 0.6514)
(0.2541, -0.3401, 0.3420)
(0.2555, -0.3151, 0.4254)
(0.2454, -0.3116, 0.4712)
(0.2005, -0.3363, 0.3260)
(0.2042, -0.2528, 0.4771)
(0.1156, -0.3083, 0.2793)
(0.3317, -0.3367, 0.2613)
(0.1329, -0.1720, 0.1499)
(0.1479, -0.3271, 0.2500)
(0.2579, -0.3398, 0.5566)
(-0.0799, -0.4048, 0.4190)
(-0.1023, -0.4897, 0.4542)
(0.2479, -0.2479, 0.4350)
(0.1565, -0.3256, 0.2279)
(0.1095, -0.3359, 0.3237)
(-0.0932, -0.9274, 0.4631)
(-0.1235, -0.6755, 0.5153)
(-0.1160, -0.8841, 0.4333)
(-0.1262, -0.7023, 0.5227)
(0.1850, -0.2974, 0.4993)
(0.1280, -0.5183, 0.2262)
(0.0582, -0.4055, 0.2602)
(0.0431, -0.0641, 0.1086)
(-0.0014, -0.0909, 0.1582)
(-0.1713, -0.8773, 0.5505)
(-0.2111, -0.9738, 0.7086)
(-0.2211, -0.8525, 0.5361)
(-0.1367, -0.9051, 0.4591)
(-0.2243, -0.8148, 0.4790)
(-0.2446, -0.9288, 0.6448)
(-0.2721, -0.9639, 0.6963)
(0.2121, -0.8252, 0.2987)
(-0.1242, -0.6333, 0.5766)
(0.0423, -0.3619, 0.5894)
(-0.1259, -0.5524, 0.5196)
(0.0876, -0.3447, 0.5398)
(0.1514, -0.2722, 0.4734)
(0.1580, -0.3440, 0.5499)
(0.0762, -0.8408, 0.3733)
(0.1992, -0.8939, 0.4229)
(0.1853, -0.8788, 0.4490)
(-0.2040, -0.8477, 0.5697)
(-0.0060, -0.9265, 0.3666)
(-0.0922, -0.4983, 0.4514)
(0.1939, -0.9741, 0.4625)
(0.0589, -0.3662, 0.6225)
(0.1595, -0.4565, 0.7408)
(0.0870, -0.3755, 0.5728)
(-0.0679, -0.4172, 0.4392)
(-0.2185, -0.9398, 0.3086)
(-0.2759, -1.0040, 0.3393)
(-0.4146, -1.0581, 0.7117)
(-0.1565, -0.9667, 0.2910)
(-0.3321, -0.8671, 0.5607)
(-0.2010, -1.0140, 0.2958)
(0.0142, -0.8733, 0.3387)
(-0.0329, -0.8843, 0.1813)
(0.0167, -0.7992, 0.3031)
(-0.0081, -0.9493, 0.2260)
(-0.2394, -0.5973, 0.2174)
(-0.0803, -0.9744, 0.2636)
(0.0043, -0.9811, 0.3416)
(0.0182, -1.0021, 0.2660)
(-0.3503, -1.0211, 0.6722)
(0.0702, -1.0443, 0.2674)
(-0.2352, -1.0075, 0.3676)
(0.0218, -0.9740, 0.1990)
(-0.1873, -0.7130, 0.1096)
(-0.2724, -0.6056, 0.1914)
(-0.2705, -0.5440, 0.1725)
(0.0341, -0.9281, 0.1939)
(-0.3058, -0.5361, 0.2354)
(-0.2728, -0.5347, 0.2084)
(-0.2777, -0.5763, 0.2396)
(-0.0730, -0.4827, 0.7049)
(-0.1113, -0.9879, 0.2729)
(-0.2329, -1.0393, 0.2082)
(-0.0232, -0.9303, 0.2279)
(-0.0333, -0.9997, 0.2621)
(-0.2230, -1.0370, 0.2683)
(-0.0090, -0.8740, 0.1403)
(-0.2257, -0.9366, 0.1147)
(-0.2349, -0.5355, 0.1175)
(-0.2931, -0.4476, 0.2016)
(-0.2831, -0.5523, 0.1263)
(-0.2924, -0.5204, 0.1466)
(-0.0828, -0.8703, 0.4453)
(-0.0366, -1.0528, 0.2121)
(-0.3033, -0.5766, 0.2011)
(-0.3616, -0.5372, 0.2668)
(-0.0952, -0.5403, 0.5049)
(-0.1250, -0.6371, 0.5921)
(-0.3191, -0.5297, 0.2288)
(-0.2845, -0.5549, 0.1568)
(-0.2390, -0.3780, 0.0920)
(-0.3534, -0.5604, 0.2399)
(-0.2818, -0.5637, 0.0837)
(-0.3282, -0.4499, 0.2216)
(-0.0548, -1.0367, 0.3431)
(-0.0078, -0.9620, 0.1925)
(-0.1572, -0.9281, 0.4222)
(-0.1690, -0.4453, -0.0243)
(-0.5680, -0.3661, 0.7234)
(-0.3557, -0.5829, 0.1741)
(-0.2482, -0.6230, 0.1853)
(-0.1075, -0.9985, 0.1580)
(-0.2346, -0.8709, 0.5207)
(-0.4903, -0.5874, 0.3696)
(-0.3550, -1.0794, 0.1582)
(-0.2647, -1.0059, 0.3652)
(-0.2629, -0.6029, 0.2029)
(-0.4066, -0.5226, 0.1498)
(-0.3931, -0.5373, 0.1206)
(-0.4837, -0.4946, 0.2648)
(-0.4796, -0.5488, 0.2301)
(-0.4337, -0.4941, 0.1674)
(-0.3987, -0.5459, 0.0829)
(-0.2958, -1.0064, 0.1554)
(-0.4994, -0.5252, 0.2516)
